date,amount
2018-01-03,36539631.0
2018-01-12,31800000.0
2018-01-19,31800000.0
2018-01-22,8824341.0
2018-01-22,4925979.0
2018-02-02,31800000.0
2018-02-05,2307726.0
2018-02-06,2450667.0
2018-02-16,31800000.0
2018-02-26,12169383.0
2018-02-26,2482149.0
2018-03-02,31800000.0
2018-03-05,12109281.0
2018-03-16,31800000.0
2018-03-23,8902569.0
2018-03-30,31800000.0
2018-04-02,12992526.0
2018-04-04,5772972.0
2018-04-13,31800000.0
2018-04-26,12238548.0
2018-04-26,19349346.0
2018-04-27,31800000.0
2018-05-09,9562260.0
2018-05-11,31800000.0
2018-05-19,3292572.0
2018-05-21,4500813.0
2018-05-25,31800000.0
2018-06-02,3739362.0
2018-06-02,7415124.0
2018-06-08,31800000.0
2018-06-14,4506696.0
2018-06-20,1422255.0
2018-06-22,31800000.0
2018-06-25,14989884.0
2018-07-06,31800000.0
2018-07-08,4131933.0
2018-07-09,3850344.0
2018-07-20,976737.0
2018-07-20,1635792.0
2018-07-20,31800000.0
2018-08-02,12978693.0
2018-08-03,31800000.0
2018-08-15,4286004.0
2018-08-15,2534142.0
2018-08-17,31800000.0
2018-08-21,543462.0
2018-08-21,1586184.0
2018-08-31,31800000.0
2018-09-04,10927911.0
2018-09-14,2136006.0
2018-09-14,31800000.0
2018-09-28,2037108.0
2018-09-28,4530864.0
2018-09-28,31800000.0
2018-10-02,1972077.0
2018-10-12,31800000.0
2018-10-21,8655483.0
2018-10-22,5625897.0
2018-10-26,31800000.0
2018-11-02,4173909.0
2018-11-09,31800000.0
2018-11-20,6709164.0
2018-11-23,31800000.0
2018-11-29,9269541.0
2018-11-29,11948850.0
2018-12-07,31800000.0
2018-12-18,4945218.0
2018-12-20,7378077.0
2018-12-21,31800000.0
2018-12-29,13674795.0
2019-01-04,31800000.0
2019-01-09,7814055.0
2019-01-18,31800000.0
2019-01-21,4420041.0
2019-02-01,31800000.0
2019-02-15,3298773.0
2019-02-15,31800000.0
2019-02-20,4651386.0
2019-03-01,31800000.0
2019-03-13,8472474.0
2019-03-13,4798461.0
2019-03-15,31800000.0
2019-03-29,31800000.0
2019-03-31,15225840.0
2019-04-01,9548109.0
2019-04-12,31800000.0
2019-04-18,9608688.0
2019-04-18,7283790.0
2019-04-26,31800000.0
2019-04-27,4276464.0
2019-05-10,31800000.0
2019-05-17,9147747.0
2019-05-24,12174312.0
2019-05-24,31800000.0
2019-06-03,4149105.0
2019-06-07,31800000.0
2019-06-13,2428248.0
2019-06-20,1600812.0
2019-06-21,31800000.0
2019-07-05,35775000.0
2019-07-06,3499272.0
2019-07-09,8740548.0
2019-07-19,1836768.0
2019-07-19,35775000.0
2019-07-22,4087572.0
2019-08-02,35775000.0
2019-08-05,5553552.0
2019-08-05,1870635.0
2019-08-16,35775000.0
2019-08-17,1386003.0
2019-08-30,35775000.0
2019-09-06,22106883.0
2019-09-11,5732904.0
2019-09-13,35775000.0
2019-09-16,1440063.0
2019-09-17,2959467.0
2019-09-20,149937.0
2019-09-27,35775000.0
